# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-t" "gene" "-g" "ID" "-s" "1" "-a" "annotation.gff" "-o" "counts.txt" "SRR10379724.bam" "SRR10379722.bam" "SRR10379725.bam" "SRR10379726.bam" "SRR10379723.bam" "SRR10379721.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10379724.bam	SRR10379722.bam	SRR10379725.bam	SRR10379726.bam	SRR10379723.bam	SRR10379721.bam
gene-SAOUHSC_00001	CP000253.1	517	1878	+	1362	13963	16816	19411	3941	12918	20274
gene-SAOUHSC_00002	CP000253.1	2156	3289	+	1134	11920	12018	14852	2074	11021	15764
gene-SAOUHSC_00003	CP000253.1	3670	3915	+	246	1316	1187	966	120	823	1563
gene-SAOUHSC_00004	CP000253.1	3912	5024	+	1113	7511	11299	6652	838	9790	13756
gene-SAOUHSC_00005	CP000253.1	5034	6968	+	1935	12009	26226	12058	3489	24022	29311
gene-SAOUHSC_00006	CP000253.1	7005	9668	+	2664	18724	32818	12298	3969	31606	44453
gene-SAOUHSC_00007	CP000253.1	9755	10456	-	702	3491	4722	4979	1203	4597	6826
gene-SAOUHSC_00008	CP000253.1	10893	12407	+	1515	1183	2249	1843	293	2073	2698
gene-SAOUHSC_00009	CP000253.1	12786	14072	+	1287	40144	1837	77817	13343	1231	2193
gene-SAOUHSC_00010	CP000253.1	14722	15417	+	696	2079	160	4572	264	131	180
gene-SAOUHSC_00012	CP000253.1	15414	15743	+	330	1141	134	2740	294	125	156
gene-SAOUHSC_00013	CP000253.1	16106	17074	+	969	4541	1123	8794	1869	814	1065
gene-SAOUHSC_00014	CP000253.1	17365	18303	+	939	6863	3337	8752	1160	3393	4446
gene-SAOUHSC_00015	CP000253.1	18318	20285	+	1968	20768	21614	25714	5807	22208	25516
gene-SAOUHSC_00017	CP000253.1	20282	20734	+	453	5227	5502	6490	1042	5626	6336
gene-SAOUHSC_00018	CP000253.1	20766	22166	+	1401	14270	10261	19467	6288	8628	11558
gene-SAOUHSC_00019	CP000253.1	22444	23727	+	1284	8514	6149	5185	3211	6752	6812
gene-SAOUHSC_T00018	CP000253.1	24157	24231	+	75	47	42	7	130	38	86
gene-SAOUHSC_T00011	CP000253.1	24239	24311	+	73	229	361	31	200	158	369
gene-SAOUHSC_00020	CP000253.1	24931	25632	+	702	3872	3430	5961	917	2550	3652
gene-SAOUHSC_00021	CP000253.1	25645	27471	+	1827	11274	10337	13059	6156	8060	11930
gene-SAOUHSC_00022	CP000253.1	27515	28798	+	1284	10214	10827	12005	1984	8932	12712
gene-SAOUHSC_00023	CP000253.1	28799	29587	+	789	6815	7781	8107	2075	7245	9425
gene-SAOUHSC_00024	CP000253.1	29977	30777	+	801	1278	1433	1035	364	1562	2402
gene-SAOUHSC_00025	CP000253.1	31005	33323	+	2319	1004	1136	1377	657	1207	1632
gene-SAOUHSC_00026	CP000253.1	33555	34034	-	480	62	230	49	16	342	375
gene-SAOUHSC_00027	CP000253.1	33691	34170	+	480	1244	1126	2107	677	865	1258
gene-SAOUHSC_00028	CP000253.1	34375	34509	-	135	2	3	0	3	3	2
gene-SAOUHSC_00029	CP000253.1	34473	34565	+	93	53	7	104	13	16	5
gene-SAOUHSC_00030	CP000253.1	34712	36457	+	1746	2319	941	3893	293	964	1275
gene-SAOUHSC_00031	CP000253.1	36551	37003	-	453	1788	17900	2001	312	29572	28298
gene-SAOUHSC_00032	CP000253.1	37019	37120	-	102	18	27	35	18	124	49
gene-SAOUHSC_00033	CP000253.1	37218	37973	-	756	1358	9310	1039	138	15986	14004
gene-SAOUHSC_00034	CP000253.1	37973	38233	-	261	306	2715	292	15	3218	3599
gene-SAOUHSC_00035	CP000253.1	38370	39437	+	1068	941	16320	383	36	25357	24560
gene-SAOUHSC_00036	CP000253.1	39468	40802	+	1335	2023	32562	1098	272	48266	46593
gene-SAOUHSC_00037	CP000253.1	40821	42014	+	1194	8509	29420	8129	3302	42501	45072
gene-SAOUHSC_00038	CP000253.1	42281	42382	-	102	174	171	132	14	124	223
gene-SAOUHSC_00039	CP000253.1	42681	43613	-	933	3144	2510	4108	1974	1871	2861
gene-SAOUHSC_00040	CP000253.1	43976	44179	+	204	20	14	40	6	16	18
gene-SAOUHSC_00041	CP000253.1	44228	44524	+	297	407	510	561	57	493	639
gene-SAOUHSC_00042	CP000253.1	44596	45816	-	1221	385	213	497	42	248	340
gene-SAOUHSC_00043	CP000253.1	45809	46360	-	552	97	91	130	24	95	168
gene-SAOUHSC_00044	CP000253.1	46473	47333	+	861	728	1289	907	58	1513	1848
gene-SAOUHSC_00045	CP000253.1	47689	48222	-	534	235	61	438	63	113	93
gene-SAOUHSC_00046	CP000253.1	48313	49056	+	744	457	303	679	27	338	391
gene-SAOUHSC_00047	CP000253.1	49490	50092	+	603	438	321	882	42	383	555
gene-SAOUHSC_00049	CP000253.1	50359	53511	+	3153	2351	1662	3196	328	1884	2479
gene-SAOUHSC_00050	CP000253.1	53568	54050	+	483	926	896	1292	111	1188	1459
gene-SAOUHSC_00051	CP000253.1	54255	55241	+	987	454	170	662	194	193	363
gene-SAOUHSC_00052	CP000253.1	55462	56232	+	771	83	91	143	17	117	164
gene-SAOUHSC_00053	CP000253.1	56284	57054	+	771	189	165	362	29	217	235
gene-SAOUHSC_00054	CP000253.1	57118	57888	+	771	258	281	409	42	299	380
